,frequency
book,98
expedia,89
hotel,73
use,70
easi,65
have,56
veri,48
price,47
wa,47
flight,45
good,43
time,37
websit,34
had,33
site,33
holiday,31
servic,28
found,25
thi,25
find,23
great,23
would,23
year,20
recommend,20
trip,19
do,18
problem,18
alway,18
been,18
go,17
onli,17
deal,17
one,17
get,16
look,16
custom,16
quick,16
help,15
mani,15
best,15
want,15
valu,15
simpl,14
choic,14
excel,14
web,14
chang,13
process,13
travel,13
more,13
experi,12
other,12
make,12
what,12
competit,12
onlin,11
made,11
give,10
last,10
got,10
first,10
realli,10
few,10
happi,10
there,10
inform,10
option,10
point,10
everyth,10
cheaper,9
could,9
up,9
room,9
ani,9
can,9
done,8
did,8
stay,8
definit,8
thing,8
phone,8
nectar,8
same,8
offer,8
need,8
lot,8
who,8
call,8
etc,8
expect,8
effici,8
car,7
ha,7
tri,7
number,7
famili,7
check,7
better,7
friendli,7
continu,7
thank,7
avail,6
save,6
see,6
confirm,6
select,6
went,6
stop,6
befor,6
charg,6
way,6
think,6
usual,6
request,6
qualiti,6
abl,6
plan,6
money,6
everi,6
night,6
occas,6
rate,6
out,6
pay,6
keep,6
place,6
hire,6
day,6
contact,6
quickli,6
rang,6
includ,5
end,5
itinerari,5
feel,5
littl,5
whole,5
work,5
breakfast,5
ca,5
friend,5
airlin,5
reason,5
minut,5
uk,5
onc,5
differ,5
peopl,5
person,5
straightforward,5
sometim,5
clear,5
compani,5
sever,5
compar,5
search,5
cheap,5
